dataset,id,exact_match_std,exact_match_mean
arc_challenge,arc_challenge_0001,0.0,1.0
arc_challenge,arc_challenge_0002,0.0,1.0
arc_challenge,arc_challenge_0003,0.0,1.0
arc_challenge,arc_challenge_0004,0.0,1.0
arc_challenge,arc_challenge_0005,0.0,1.0
arc_challenge,arc_challenge_0006,0.0,1.0
arc_challenge,arc_challenge_0007,0.0,1.0
arc_challenge,arc_challenge_0008,0.0,1.0
arc_challenge,arc_challenge_0009,0.0,1.0
arc_challenge,arc_challenge_0010,0.0,1.0
arc_challenge,arc_challenge_0011,0.0,1.0
arc_challenge,arc_challenge_0012,0.0,1.0
arc_challenge,arc_challenge_0013,0.0,1.0
arc_challenge,arc_challenge_0014,0.0,1.0
arc_challenge,arc_challenge_0015,0.0,1.0
arc_easy,arc_easy_0001,0.0,1.0
arc_easy,arc_easy_0002,0.0,1.0
arc_easy,arc_easy_0003,0.0,1.0
arc_easy,arc_easy_0004,0.0,1.0
arc_easy,arc_easy_0005,0.0,1.0
arc_easy,arc_easy_0006,0.0,1.0
arc_easy,arc_easy_0007,0.0,1.0
arc_easy,arc_easy_0008,0.0,1.0
arc_easy,arc_easy_0009,0.0,1.0
arc_easy,arc_easy_0010,0.0,1.0
arc_easy,arc_easy_0011,0.0,1.0
arc_easy,arc_easy_0012,0.0,1.0
arc_easy,arc_easy_0013,0.0,1.0
arc_easy,arc_easy_0014,0.0,1.0
arc_easy,arc_easy_0015,0.0,1.0
boolq,boolq_0001,0.0,1.0
boolq,boolq_0002,0.0,1.0
boolq,boolq_0003,0.0,1.0
boolq,boolq_0004,0.0,1.0
boolq,boolq_0005,0.0,1.0
boolq,boolq_0006,0.0,1.0
boolq,boolq_0007,0.0,1.0
boolq,boolq_0008,0.0,1.0
boolq,boolq_0009,0.0,1.0
boolq,boolq_0010,0.0,1.0
boolq,boolq_0011,0.0,1.0
boolq,boolq_0012,0.0,1.0
boolq,boolq_0013,0.0,1.0
boolq,boolq_0014,0.0,1.0
boolq,boolq_0015,0.0,1.0
squad,squad_0001,0.0,1.0
squad,squad_0002,0.0,1.0
squad,squad_0003,0.0,1.0
squad,squad_0004,0.0,1.0
squad,squad_0005,0.0,1.0
squad,squad_0006,0.0,1.0
squad,squad_0007,0.0,1.0
squad,squad_0008,0.0,1.0
squad,squad_0009,0.0,1.0
squad,squad_0010,0.0,1.0
squad,squad_0011,0.0,1.0
squad,squad_0012,0.0,1.0
squad,squad_0013,0.0,1.0
squad,squad_0014,0.0,1.0
squad,squad_0015,0.0,1.0
