dataset,id,task_type,template_name,prompt_family,prompt,question,context,options,gold_answer,gold_text,item_id,backend,model,raw_response,response,predicted,exact_match,f1
arc_easy,arc_easy_0001,mcq,direct,direct,"Answer the following multiple-choice question. Return only the option letter.
Question: Which is the function of the gallbladder?
Options: A) store bile B) produce bile C) store digestive enzymes D) produce digestive enzymes",Which is the function of the gallbladder?,,"['A) store bile', 'B) produce bile', 'C) store digestive enzymes', 'D) produce digestive enzymes']",A,store bile,arc_easy_0001,mock,gpt-4o-mini,A,A,A,1,
arc_easy,arc_easy_0001,mcq,role,role,"You are a careful exam solver. Answer with only one option letter.
Question: Which is the function of the gallbladder?
Options: A) store bile B) produce bile C) store digestive enzymes D) produce digestive enzymes",Which is the function of the gallbladder?,,"['A) store bile', 'B) produce bile', 'C) store digestive enzymes', 'D) produce digestive enzymes']",A,store bile,arc_easy_0001,mock,gpt-4o-mini,A,A,A,1,
arc_easy,arc_easy_0001,mcq,minimal,minimal,"Which is the function of the gallbladder?
A) store bile B) produce bile C) store digestive enzymes D) produce digestive enzymes
Letter only:",Which is the function of the gallbladder?,,"['A) store bile', 'B) produce bile', 'C) store digestive enzymes', 'D) produce digestive enzymes']",A,store bile,arc_easy_0001,mock,gpt-4o-mini,A,A,A,1,
arc_easy,arc_easy_0001,mcq,verbose,verbose,"Think carefully about the question, then return only the final option letter.
Question: Which is the function of the gallbladder?
Options: A) store bile B) produce bile C) store digestive enzymes D) produce digestive enzymes",Which is the function of the gallbladder?,,"['A) store bile', 'B) produce bile', 'C) store digestive enzymes', 'D) produce digestive enzymes']",A,store bile,arc_easy_0001,mock,gpt-4o-mini,A,A,A,1,
arc_easy,arc_easy_0001,mcq,format_strict,format_strict,"Choose the correct option and respond in the format 'Answer: X'.
Question: Which is the function of the gallbladder?
Options: A) store bile B) produce bile C) store digestive enzymes D) produce digestive enzymes",Which is the function of the gallbladder?,,"['A) store bile', 'B) produce bile', 'C) store digestive enzymes', 'D) produce digestive enzymes']",A,store bile,arc_easy_0001,mock,gpt-4o-mini,A,A,A,1,
arc_easy,arc_easy_0001,mcq,bullet,bullet,"- Question: Which is the function of the gallbladder?
- Choices: A) store bile B) produce bile C) store digestive enzymes D) produce digestive enzymes
- Response: one letter",Which is the function of the gallbladder?,,"['A) store bile', 'B) produce bile', 'C) store digestive enzymes', 'D) produce digestive enzymes']",A,store bile,arc_easy_0001,mock,gpt-4o-mini,A,A,A,1,
arc_easy,arc_easy_0001,mcq,question_first,question_first,"Which option is correct?
Which is the function of the gallbladder?
A) store bile B) produce bile C) store digestive enzymes D) produce digestive enzymes
Answer:",Which is the function of the gallbladder?,,"['A) store bile', 'B) produce bile', 'C) store digestive enzymes', 'D) produce digestive enzymes']",A,store bile,arc_easy_0001,mock,gpt-4o-mini,A,A,A,1,
arc_easy,arc_easy_0001,mcq,narrative,narrative,A student asks: Which is the function of the gallbladder?. The choices are A) store bile B) produce bile C) store digestive enzymes D) produce digestive enzymes. Reply with the correct letter only.,Which is the function of the gallbladder?,,"['A) store bile', 'B) produce bile', 'C) store digestive enzymes', 'D) produce digestive enzymes']",A,store bile,arc_easy_0001,mock,gpt-4o-mini,A,A,A,1,
arc_easy,arc_easy_0002,mcq,direct,direct,"Answer the following multiple-choice question. Return only the option letter.
Question: Which type of adaptation allows an animal to deceive its predator?
Options: A) large size B) protective coloration C) scent glands D) leathery skin",Which type of adaptation allows an animal to deceive its predator?,,"['A) large size', 'B) protective coloration', 'C) scent glands', 'D) leathery skin']",B,protective coloration,arc_easy_0002,mock,gpt-4o-mini,B,B,B,1,
arc_easy,arc_easy_0002,mcq,role,role,"You are a careful exam solver. Answer with only one option letter.
Question: Which type of adaptation allows an animal to deceive its predator?
Options: A) large size B) protective coloration C) scent glands D) leathery skin",Which type of adaptation allows an animal to deceive its predator?,,"['A) large size', 'B) protective coloration', 'C) scent glands', 'D) leathery skin']",B,protective coloration,arc_easy_0002,mock,gpt-4o-mini,B,B,B,1,
arc_easy,arc_easy_0002,mcq,minimal,minimal,"Which type of adaptation allows an animal to deceive its predator?
A) large size B) protective coloration C) scent glands D) leathery skin
Letter only:",Which type of adaptation allows an animal to deceive its predator?,,"['A) large size', 'B) protective coloration', 'C) scent glands', 'D) leathery skin']",B,protective coloration,arc_easy_0002,mock,gpt-4o-mini,B,B,B,1,
arc_easy,arc_easy_0002,mcq,verbose,verbose,"Think carefully about the question, then return only the final option letter.
Question: Which type of adaptation allows an animal to deceive its predator?
Options: A) large size B) protective coloration C) scent glands D) leathery skin",Which type of adaptation allows an animal to deceive its predator?,,"['A) large size', 'B) protective coloration', 'C) scent glands', 'D) leathery skin']",B,protective coloration,arc_easy_0002,mock,gpt-4o-mini,B,B,B,1,
arc_easy,arc_easy_0002,mcq,format_strict,format_strict,"Choose the correct option and respond in the format 'Answer: X'.
Question: Which type of adaptation allows an animal to deceive its predator?
Options: A) large size B) protective coloration C) scent glands D) leathery skin",Which type of adaptation allows an animal to deceive its predator?,,"['A) large size', 'B) protective coloration', 'C) scent glands', 'D) leathery skin']",B,protective coloration,arc_easy_0002,mock,gpt-4o-mini,B,B,B,1,
arc_easy,arc_easy_0002,mcq,bullet,bullet,"- Question: Which type of adaptation allows an animal to deceive its predator?
- Choices: A) large size B) protective coloration C) scent glands D) leathery skin
- Response: one letter",Which type of adaptation allows an animal to deceive its predator?,,"['A) large size', 'B) protective coloration', 'C) scent glands', 'D) leathery skin']",B,protective coloration,arc_easy_0002,mock,gpt-4o-mini,B,B,B,1,
arc_easy,arc_easy_0002,mcq,question_first,question_first,"Which option is correct?
Which type of adaptation allows an animal to deceive its predator?
A) large size B) protective coloration C) scent glands D) leathery skin
Answer:",Which type of adaptation allows an animal to deceive its predator?,,"['A) large size', 'B) protective coloration', 'C) scent glands', 'D) leathery skin']",B,protective coloration,arc_easy_0002,mock,gpt-4o-mini,B,B,B,1,
arc_easy,arc_easy_0002,mcq,narrative,narrative,A student asks: Which type of adaptation allows an animal to deceive its predator?. The choices are A) large size B) protective coloration C) scent glands D) leathery skin. Reply with the correct letter only.,Which type of adaptation allows an animal to deceive its predator?,,"['A) large size', 'B) protective coloration', 'C) scent glands', 'D) leathery skin']",B,protective coloration,arc_easy_0002,mock,gpt-4o-mini,B,B,B,1,
arc_easy,arc_easy_0003,mcq,direct,direct,"Answer the following multiple-choice question. Return only the option letter.
Question: Which three things do animals need from their environment in order to survive?
Options: A) soil, water, and food B) soil, light, and water C) air, food, and water D) air, water, and light",Which three things do animals need from their environment in order to survive?,,"['A) soil, water, and food', 'B) soil, light, and water', 'C) air, food, and water', 'D) air, water, and light']",C,"air, food, and water",arc_easy_0003,mock,gpt-4o-mini,C,C,C,1,
arc_easy,arc_easy_0003,mcq,role,role,"You are a careful exam solver. Answer with only one option letter.
Question: Which three things do animals need from their environment in order to survive?
Options: A) soil, water, and food B) soil, light, and water C) air, food, and water D) air, water, and light",Which three things do animals need from their environment in order to survive?,,"['A) soil, water, and food', 'B) soil, light, and water', 'C) air, food, and water', 'D) air, water, and light']",C,"air, food, and water",arc_easy_0003,mock,gpt-4o-mini,C,C,C,1,
