id,dataset,model_name,task_type,gold_answer,n_templates,sens_heuristic,sens_judge,eas,signed_eas,mean_heuristic,mean_judge,stab_sem,effect_role_heuristic,effect_fmt_heuristic,effect_prefix_heuristic,effect_role_judge,effect_fmt_judge,effect_prefix_judge,trizone
arc_1,arc_challenge,mistral-nemo:latest,mcq,B,8,0.0,0.5,0.5,-0.5,1.0,0.5,,0.0,0.0,0.0,0.0,1.0,0.0,stable
arc_1000,arc_challenge,mistral-nemo:latest,mcq,A,8,0.0,0.5,0.5,-0.5,1.0,0.5,,0.0,0.0,0.0,0.0,1.0,0.0,stable
arc_1010,arc_challenge,mistral-nemo:latest,mcq,D,8,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_1022,arc_challenge,mistral-nemo:latest,mcq,D,8,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_1025,arc_challenge,mistral-nemo:latest,mcq,C,8,0.33071891388307384,0.4841229182759271,0.1534040043928533,-0.1534040043928533,0.875,0.375,,-0.25,-0.25,-0.25,-0.25,0.75,-0.25,stable
arc_1034,arc_challenge,mistral-nemo:latest,mcq,A,8,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_1039,arc_challenge,mistral-nemo:latest,mcq,B,8,0.4841229182759271,0.33071891388307384,0.1534040043928533,0.1534040043928533,0.625,0.125,,0.25,-0.75,0.25,0.25,0.25,0.25,stable
arc_1043,arc_challenge,mistral-nemo:latest,mcq,C,8,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_1052,arc_challenge,mistral-nemo:latest,mcq,D,8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_1059,arc_challenge,mistral-nemo:latest,mcq,B,8,0.0,0.5,0.5,-0.5,1.0,0.5,,0.0,0.0,0.0,0.0,1.0,0.0,stable
arc_1080,arc_challenge,mistral-nemo:latest,mcq,A,8,0.4330127018922193,0.4330127018922193,0.0,0.0,0.75,0.75,,0.0,0.5,-0.5,0.0,0.5,-0.5,stable
arc_1083,arc_challenge,mistral-nemo:latest,mcq,A,8,0.5,0.0,0.5,0.5,0.5,0.0,,0.0,-1.0,0.0,0.0,0.0,0.0,stable
arc_1086,arc_challenge,mistral-nemo:latest,mcq,C,8,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_1090,arc_challenge,mistral-nemo:latest,mcq,A,8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_1093,arc_challenge,mistral-nemo:latest,mcq,C,8,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_1098,arc_challenge,mistral-nemo:latest,mcq,B,8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_1099,arc_challenge,mistral-nemo:latest,mcq,D,8,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_110,arc_challenge,mistral-nemo:latest,mcq,A,8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_1103,arc_challenge,mistral-nemo:latest,mcq,A,8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_1104,arc_challenge,mistral-nemo:latest,mcq,C,8,0.4330127018922193,0.5,0.0669872981077807,-0.0669872981077807,0.75,0.5,,0.5,0.5,0.0,0.0,1.0,0.0,stable
arc_1116,arc_challenge,mistral-nemo:latest,mcq,D,8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_1125,arc_challenge,mistral-nemo:latest,mcq,C,8,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_1127,arc_challenge,mistral-nemo:latest,mcq,C,8,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_1130,arc_challenge,mistral-nemo:latest,mcq,A,8,0.4841229182759271,0.4841229182759271,0.0,0.0,0.625,0.625,,0.25,0.25,-0.75,0.25,0.25,-0.75,stable
arc_1133,arc_challenge,mistral-nemo:latest,mcq,D,8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_1134,arc_challenge,mistral-nemo:latest,mcq,C,8,0.0,0.5,0.5,-0.5,1.0,0.5,,0.0,0.0,0.0,0.0,1.0,0.0,stable
arc_114,arc_challenge,mistral-nemo:latest,mcq,B,8,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_1140,arc_challenge,mistral-nemo:latest,mcq,A,8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_1149,arc_challenge,mistral-nemo:latest,mcq,C,8,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_1161,arc_challenge,mistral-nemo:latest,mcq,A,8,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_1169,arc_challenge,mistral-nemo:latest,mcq,A,8,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_118,arc_challenge,mistral-nemo:latest,mcq,D,8,0.0,0.5,0.5,-0.5,0.0,0.5,,0.0,0.0,0.0,0.0,-1.0,0.0,stable
arc_120,arc_challenge,mistral-nemo:latest,mcq,A,8,0.0,0.5,0.5,-0.5,1.0,0.5,,0.0,0.0,0.0,0.0,1.0,0.0,stable
arc_124,arc_challenge,mistral-nemo:latest,mcq,B,8,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_13,arc_challenge,mistral-nemo:latest,mcq,C,8,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_130,arc_challenge,mistral-nemo:latest,mcq,B,8,0.0,0.5,0.5,-0.5,1.0,0.5,,0.0,0.0,0.0,0.0,1.0,0.0,stable
arc_131,arc_challenge,mistral-nemo:latest,mcq,C,8,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_135,arc_challenge,mistral-nemo:latest,mcq,2,8,0.4841229182759271,0.33071891388307384,0.1534040043928533,0.1534040043928533,0.375,0.875,,-0.25,-0.75,0.25,-0.25,0.25,0.25,stable
arc_138,arc_challenge,mistral-nemo:latest,mcq,A,8,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_14,arc_challenge,mistral-nemo:latest,mcq,C,8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_141,arc_challenge,mistral-nemo:latest,mcq,C,8,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_142,arc_challenge,mistral-nemo:latest,mcq,A,8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_145,arc_challenge,mistral-nemo:latest,mcq,C,8,0.0,0.5,0.5,-0.5,1.0,0.5,,0.0,0.0,0.0,0.0,1.0,0.0,stable
arc_146,arc_challenge,mistral-nemo:latest,mcq,B,8,0.0,0.5,0.5,-0.5,1.0,0.5,,0.0,0.0,0.0,0.0,1.0,0.0,stable
arc_154,arc_challenge,mistral-nemo:latest,mcq,B,8,0.4330127018922193,0.4841229182759271,0.05111021638370783,-0.05111021638370783,0.75,0.625,,-0.5,0.5,0.0,-0.25,0.75,-0.25,stable
arc_161,arc_challenge,mistral-nemo:latest,mcq,D,8,0.0,0.5,0.5,-0.5,1.0,0.5,,0.0,0.0,0.0,0.0,1.0,0.0,stable
arc_163,arc_challenge,mistral-nemo:latest,mcq,B,8,0.0,0.5,0.5,-0.5,1.0,0.5,,0.0,0.0,0.0,0.0,1.0,0.0,stable
arc_175,arc_challenge,mistral-nemo:latest,mcq,A,8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_178,arc_challenge,mistral-nemo:latest,mcq,B,8,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_186,arc_challenge,mistral-nemo:latest,mcq,D,8,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_189,arc_challenge,mistral-nemo:latest,mcq,C,8,0.5,0.0,0.5,0.5,0.5,0.0,,0.0,-1.0,0.0,0.0,0.0,0.0,stable
arc_191,arc_challenge,mistral-nemo:latest,mcq,B,8,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_193,arc_challenge,mistral-nemo:latest,mcq,D,8,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_198,arc_challenge,mistral-nemo:latest,mcq,B,8,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_200,arc_challenge,mistral-nemo:latest,mcq,C,8,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
